"LOVIN, Fita",Romania
"POPESCU, Marioara",Romania
"VOINEA, Camelia",Romania
"CHU, Mu-Yen",Taiwan
"HOSOKAWA, Shinji",Japan
"MARTIROSYAN, Tigran Gevorg",Armenia
"PISTULLA, Ernst",Germany
"BALDI, Ubaldesco",Italy
"MEDALEN, Linda",Norway
"KIRKSEY, Morris",United States
"STOYANOV, Gavril Todorov",Bulgaria
"DMITRIEVA, Elena",Russia
"BITOK, Paul",Kenya
"KLODEN, Andreas",Germany
"DEITERS, Julie",Netherlands
"TERMEULEN, Johanna Maria",Netherlands
"CATA-CHITIGA, Marius",Romania
"PINTENS, Henri",Belgium
"VALDMANIS, Maigonis",Soviet Union
"HOEPELMAN, Andries",Netherlands
"ARBOS, Eduard",Spain
"KIM, Rang","Korea, South"
"FREED, Amanda",United States
"CANTWELL, Christian",United States
"KLEIN, Herbert",Germany
"OSCARSSON, Markus",Sweden
"KHALID, Hameed",Pakistan
"COHEN, Henri",Belgium
"KILLINGBECK, Molly",Canada
"VENIER, Simone",Italy
"BOERIO, Henry",France
PRINZESS,United States
"WATSON, Josh",Australia
